,,,,,,,,Wafer #8 Bin #14,,,,,Wafer #10 Bin #14,,,,
Test Name,LL,UL,Unit,Avg,Min,Max,,T28,S28,H33,AB26,AA26,AE37,AF19,AI33,D31,W31
HREGDAC_Chop_1_6,0.68,0.88,V,0.785898792,0.782928605,0.791112073,,0.783347677,0.784013023,0.78616899,0.78412884,0.782928605,0.786545693,0.786191415,0.791112073,0.787872252,0.786679357
HREGDAC_Chop_2_6,1.53,1.73,V,1.642753955,1.634091383,1.651499056,,1.647701177,1.634091383,1.648647922,1.642603746,1.634470325,1.63948704,1.638373353,1.651499056,1.646920417,1.643745132
HREGDAC_Chop_3_6,2.38,2.58,V,2.497033783,2.489121165,2.502454278,,2.498079329,2.489121165,2.494887169,2.494613961,2.499400145,2.502454278,2.501907377,2.490647248,2.501554343,2.497672817
HREGDAC_Chop_4_6,3.25,3.45,V,3.355811627,3.345242254,3.362601045,,3.354423991,3.345242254,3.353862943,3.351720111,3.354869326,3.362175217,3.360615821,3.354738228,3.362601045,3.357867333
HREGDAC_Chop_5_6,4.1,4.3,V,4.213785396,4.19691819,4.221881621,,4.219521401,4.19691819,4.21793764,4.211181071,4.207025083,4.217039047,4.214284225,4.216240125,4.221881621,4.215825556
HTRDAC_1_6,0.32,0.52,V,0.418006474,0.415514805,0.419527628,,0.418693218,0.416497282,0.41749019,0.417612169,0.417494748,0.41952331,0.415514805,0.418310973,0.419527628,0.419400411
HTRDAC_2_6,0.73,0.93,V,0.834826471,0.831729679,0.837322955,,0.835873081,0.831994939,0.835492231,0.835123584,0.833614285,0.835844259,0.831729679,0.835337793,0.837322955,0.835931908
HTRDAC_3_6,1.15,1.35,V,1.251645153,1.247467465,1.255064733,,1.253063015,1.247467465,1.253505604,1.252665156,1.249791463,1.252182721,1.247921224,1.252348714,1.255064733,1.252441431
HTRDAC_4_6,1.56,1.76,V,1.668497361,1.663000826,1.672860921,,1.670245197,1.663000826,1.671521258,1.670236969,1.665983713,1.668521169,1.664172016,1.669415042,1.672860921,1.669016502
HTRDAC_5_6,1.98,2.18,V,2.085357876,2.078496619,2.090668643,,2.087518894,2.078496619,2.089526255,2.087841872,2.082193141,2.08489236,2.080456851,2.086424872,2.090668643,2.085559255
H2SDAC_1_6,0.57,0.77,V,0.666379065,0.661905598,0.669026885,,0.6677545,0.665838223,0.666962211,0.665345804,0.66641846,0.666366911,0.661905598,0.669026885,0.668333914,0.665838138
H2SDAC_2_6,1.23,1.43,V,1.333063965,1.328525759,1.336886273,,1.33348994,1.329718261,1.333533093,1.332717873,1.332815995,1.333017199,1.328525759,1.336886273,1.336282807,1.333652451
H2SDAC_3_6,1.9,2.1,V,1.999781455,1.993572289,2.004858162,,1.999190083,1.993572289,2.000209082,2.000138085,1.999306513,1.999682019,1.995122467,2.004858162,2.004235174,2.001500676
H2SDAC_4_6,2.56,2.76,V,2.666557533,2.657465041,2.67289857,,2.664941758,2.657465041,2.666888081,2.667615828,2.665852129,2.66641951,2.661752293,2.67289857,2.672341117,2.669401004
H2SDAC_5_6,3.25,3.45,V,3.333442827,3.321463322,3.340987504,,3.330811382,3.321463322,3.333890167,3.335143434,3.332488379,3.3331923,3.328543184,3.340987504,3.340575742,3.337332855
H2S2DAC_1_6,0.57,0.77,V,0.666379526,0.661918988,0.669005982,,0.667775293,0.665843782,0.666973785,0.665331874,0.666417868,0.666377042,0.661918988,0.669005982,0.668321077,0.66582957
H2S2DAC_2_6,1.23,1.43,V,1.333065903,1.328565766,1.3368609,,1.333502827,1.329707638,1.333528607,1.332717506,1.332821131,1.333049288,1.328565766,1.3368609,1.33628975,1.333615615
